idx,seed,dataset,accuracy_fp32,accuracy_esp,key,espdl_size_bytes,torch_size_bytes
6075,888,cifar10,69.35,17.52,200,447952,1663767
5664,888,cifar10,93.72,93.5,200,986096,4018484
6171,888,cifar10,93.0,92.8,200,769568,3140897
6228,888,cifar10,90.73,90.24,200,281936,1009349
6503,888,cifar10,92.2,36.03,200,946928,3770713
6527,888,cifar10,87.94,60.99,200,463408,1639101
5751,888,cifar10,91.83,91.57,200,696448,2704747
5506,888,cifar10,89.99,45.07,200,269472,959953
5905,888,cifar10,10.0,10.0,200,201040,749897
6343,888,cifar10,91.09,87.44,200,674592,2722686
5860,888,cifar10,75.76,16.56,200,539328,2081651
6712,888,cifar10,86.24,27.87,200,470496,1886744
6182,888,cifar10,92.59,92.44,200,771136,3134106
6471,888,cifar10,67.15,38.12,200,180704,561330
6537,888,cifar10,89.62,10.47,200,1000416,3777561
6378,888,cifar10,85.56,61.48,200,528112,1876165
5740,888,cifar10,92.49,92.22,200,533088,2298228
5871,888,cifar10,91.03,89.2,200,705216,2729669
6572,888,cifar10,88.96,88.67,200,283888,996843
5597,888,cifar10,91.07,89.99,200,278784,1008837
6750,888,cifar10,89.44,86.55,200,282176,984683
5764,888,cifar10,86.76,22.93,200,227056,761251
5729,888,cifar10,89.51,34.03,200,746000,2977248
6723,888,cifar10,92.19,92.0,200,543856,2073651
5137,888,cifar10,91.19,88.33,200,706208,2728581
6193,888,cifar10,92.19,29.69,200,721104,2711787
6139,888,cifar10,91.1,89.24,200,742512,2934835
5839,888,cifar10,92.57,91.56,200,744608,3157748
6019,888,cifar10,93.39,93.32,200,1000496,4024443
6355,888,cifar10,92.18,91.49,200,559440,2297908
6030,888,cifar10,92.85,92.28,200,971904,4018484
6130,888,cifar10,87.22,80.29,200,246192,803543
5230,888,cifar10,92.13,90.57,200,757472,3158260
6204,888,cifar10,92.59,92.23,200,768288,3141025
6433,888,cifar10,92.15,92.0,200,942976,3794035
5654,888,cifar10,87.59,82.37,200,743328,2959821
6317,888,cifar10,89.59,86.26,200,495088,1868549
6458,888,cifar10,91.06,89.53,200,448384,1621475
5588,888,cifar10,90.75,89.88,200,280032,984555
6636,888,cifar10,91.73,91.88,200,689840,2686993
6009,888,cifar10,92.55,92.49,200,1030480,4249148
6604,888,cifar10,90.89,89.34,200,685616,2722622
6794,888,cifar10,59.91,17.44,200,183120,548914
6582,888,cifar10,92.43,92.13,200,586208,2286433
5206,888,cifar10,92.53,91.48,200,802816,3388924
5102,888,cifar10,88.4,87.68,200,484112,1652413
6410,888,cifar10,91.94,58.36,200,709504,2687057
5552,888,cifar10,86.33,86.07,200,704400,2693905
6098,888,cifar10,91.41,90.48,200,505328,1893919
5926,888,cifar10,92.3,91.53,200,713664,2729413
6275,888,cifar10,89.97,89.61,200,222080,760227
6615,888,cifar10,91.77,87.14,200,746320,2959693
6481,888,cifar10,88.66,10.0,200,753632,2923865
6296,888,cifar10,86.84,19.12,200,492528,1851563
5609,888,cifar10,93.74,93.48,200,1228864,4884731
6593,888,cifar10,93.19,93.29,200,1227200,4885499
6389,888,cifar10,88.89,86.53,200,240592,785661
6399,888,cifar10,91.29,91.06,200,574544,2081459
6424,888,cifar10,91.34,91.03,200,472064,1844779
6548,888,cifar10,10.0,10.0,200,217760,774371
6218,888,cifar10,92.12,91.87,200,493008,2043474
6647,888,cifar10,91.24,90.41,200,550960,2074675
5493,888,cifar10,91.59,90.83,200,515904,1869381
6053,888,cifar10,92.16,91.95,200,679184,2722622
5573,888,cifar10,89.03,88.37,200,315024,1190297
6446,888,cifar10,92.98,92.67,200,744544,3158324
5892,888,cifar10,88.45,85.44,200,340096,1239309
6251,888,cifar10,92.13,91.91,200,525008,2050457
6760,888,cifar10,87.3,17.71,200,497904,1844651
6817,888,cifar10,91.28,90.89,200,525200,2074675
5785,888,cifar10,91.9,91.22,200,512784,2073779
5941,888,cifar10,90.46,83.69,200,942992,3813190
6183,888,cifar10,80.85,53.49,200,226784,778941
6229,888,cifar10,69.34,16.24,200,244480,803543
6110,888,cifar10,92.74,92.59,200,1012112,4025403
6041,888,cifar10,89.74,79.07,200,595024,2287393
5974,888,cifar10,90.18,81.32,200,556864,2099405
5805,888,cifar10,92.93,92.71,200,1030048,4248700
6066,888,cifar10,91.19,89.45,200,506368,2067820
5470,888,cifar10,91.55,91.56,200,445680,1610185
5240,888,cifar10,88.47,86.28,200,503152,1893599
6368,888,cifar10,91.72,91.48,200,752272,2934899
5796,888,cifar10,88.36,11.17,200,536640,2099533
5826,888,cifar10,93.32,93.14,200,783920,3141089
6172,888,cifar10,91.43,91.08,200,565504,2081139
5516,888,cifar10,92.0,12.04,200,978768,3801779
5699,888,cifar10,92.82,92.46,200,552576,2273946
6528,888,cifar10,91.29,90.55,200,509904,1893471
6516,888,cifar10,92.49,91.75,200,959712,4018036
6828,888,cifar10,80.16,43.24,200,231968,779069
5719,888,cifar10,91.73,87.59,200,970992,4043022
5817,888,cifar10,92.53,92.61,200,755824,3134042
5916,888,cifar10,93.24,93.13,200,1003872,4001185
5619,888,cifar10,92.69,92.49,200,515312,2068012
6692,888,cifar10,89.36,39.14,200,603472,2510697
