idx,seed,key,espdl_size_bytes,torch_size_bytes
168,999,0,794240,3355273
169,777,0,496912,1887535
169,888,0,494144,1887855
169,999,0,496224,1887663
170,777,0,296464,993907
170,888,0,296464,993651
170,999,0,296464,993971
171,777,0,991344,4012713
171,888,0,992720,4012457
171,999,0,991344,4012905
172,777,0,138832,559314
172,888,0,138832,559314
172,999,0,138832,559250
173,777,0,283696,975125
173,888,0,283696,975125
173,999,0,283696,975125
174,777,0,508800,1846515
174,888,0,508800,1846643
174,999,0,510928,1846771
175,777,0,713072,2700595
175,888,0,713776,2700595
175,999,0,713072,2700723
176,777,0,250464,765045
176,888,0,248288,764917
176,999,0,247568,765045
177,777,0,284224,1003217
177,888,0,284224,1003089
177,999,0,283536,1003025
178,777,0,552160,2290985
178,888,0,550784,2291177
178,999,0,550784,2291497
179,777,0,757664,2929137
179,888,0,757664,2929265
179,999,0,757664,2929329
180,777,0,999936,4018543
180,888,0,999936,4018799
180,999,0,999936,4018351
181,777,0,319440,1185555
181,888,0,318736,1185875
181,999,0,320144,1185427
183,777,0,439872,1636051
183,888,0,439872,1636051
183,999,0,439872,1636051
186,777,0,149664,525526
186,888,0,149664,525654
186,999,0,149664,525590
187,777,0,286560,987123
187,888,0,286560,987379
187,999,0,287968,987379
188,777,0,469904,1832493
188,888,0,469904,1832877
188,999,0,469904,1832493
189,777,0,699728,2699891
189,888,0,699056,2700019
189,999,0,699040,2700083
190,777,0,478272,1863377
190,888,0,478272,1863185
190,999,0,478272,1863057
191,777,0,700880,2741353
191,888,0,698816,2740905
191,999,0,701600,2740969
192,777,0,722624,2700595
192,888,0,717632,2700339
192,999,0,718352,2700595
193,777,0,483568,1847347
193,888,0,483568,1848051
193,999,0,483568,1847411
194,777,0,466128,1816981
194,888,0,466128,1816917
194,999,0,465424,1816725
195,777,0,435248,1617589
195,888,0,435936,1617525
195,999,0,436624,1617461
196,777,0,489440,1829461
196,888,0,489440,1829717
196,999,0,489440,1829589
197,777,0,495968,1846387
197,888,0,495968,1846131
197,999,0,495968,1846323
198,777,0,508064,2085897
198,888,0,508064,2085705
198,999,0,508064,2085577
199,777,0,170848,535668
199,888,0,169424,535668
199,999,0,171568,535668
201,777,0,210608,740823
201,888,0,210608,740631
201,999,0,210608,740887
203,777,0,1047232,4221839
203,888,0,1047232,4222287
203,999,0,1047232,4222351
204,777,0,738816,2905875
204,888,0,740976,2905747
204,999,0,740256,2905555
206,777,0,402768,1587607
206,888,0,402080,1587095
206,999,0,402784,1587415
207,777,0,743856,2945609
207,888,0,745248,2946505
207,999,0,743168,2946633
208,777,0,199952,767949
208,888,0,199952,768205
208,999,0,202016,767949
209,777,0,549520,2069745
209,888,0,550928,2069425
209,999,0,550928,2069617
210,777,0,448048,1625013
210,888,0,448048,1624949
210,999,0,448048,1624949
211,777,0,778976,3152169
211,888,0,778976,3152041
211,999,0,777600,3151785
212,777,0,1012144,4017519
212,888,0,1012144,4017519
212,999,0,1012144,4017391
213,777,0,510720,1845939
213,888,0,510720,1846067
213,999,0,510720,1846131
214,777,0,709920,2898701
214,888,0,709936,2899021
214,999,0,707872,2898829
215,777,0,186496,602446
215,888,0,185776,602382
215,999,0,185056,602446
217,777,0,676736,2718411
217,888,0,682912,2718027
217,999,0,681536,2718539
219,777,0,511536,1829525
219,888,0,513680,1830037
219,999,0,514416,1829653
220,777,0,666848,2718539
220,888,0,666160,2718411
220,999,0,666848,2718091
221,777,0,455776,1642643
221,888,0,455776,1642515
221,999,0,455776,1642707
222,777,0,520928,1852787
222,888,0,520928,1852595
222,999,0,520928,1852659
224,777,0,1007568,3995281
224,888,0,1007568,3994961
224,999,0,1007568,3994833
225,777,0,441184,1624821
225,888,0,441184,1624949
225,999,0,441184,1624565
226,777,0,223712,727319
226,888,0,225152,727127
226,999,0,222272,727255
229,777,0,234048,782291
229,888,0,234048,782611
229,999,0,234048,782483
230,777,0,617968,2501263
230,888,0,617968,2501135
230,999,0,617968,2501135
231,777,0,473008,1881449
231,888,0,471632,1881641
231,999,0,472320,1881257
232,777,0,184944,552466
