idx,seed,dataset,acc,esp_acc
891,999,cifar10,91.52,91.54
800,999,cifar10,91.41,90.71
220,999,cifar10,87.98,54.61
778,888,cifar10,92.19,32.86
338,999,cifar10,90.04,89.29
1402,888,cifar10,91.87,91.04
412,777,cifar10,92.11,91.79
483,999,cifar10,90.11,87.30
207,777,cifar10,91.23,89.92
866,999,cifar10,92.05,91.85
922,888,cifar10,84.76,25.87
437,888,cifar10,75.90,59.78
46,777,cifar10,91.06,89.67
21,888,cifar10,92.10,91.90
1074,888,cifar10,90.88,37.94
1118,999,cifar10,76.29,60.97
1107,999,cifar10,74.77,62.66
424,999,cifar10,89.04,88.70
1391,888,cifar10,91.89,91.68
901,777,cifar10,79.86,55.25
1222,777,cifar10,85.66,68.62
622,999,cifar10,92.09,91.95
1209,777,cifar10,88.79,18.10
68,888,cifar10,91.87,91.23
33,999,cifar10,91.82,91.61
304,999,cifar10,88.14,87.82
470,888,cifar10,91.89,91.41
506,999,cifar10,92.73,92.33
744,777,cifar10,91.13,89.05
566,999,cifar10,84.66,31.40
910,888,cifar10,93.54,93.46
402,999,cifar10,92.26,91.45
700,888,cifar10,91.81,91.82
677,999,cifar10,75.55,57.20
1023,888,cifar10,92.77,35.33
1324,999,cifar10,90.19,89.77
1428,888,cifar10,93.65,93.51
1335,888,cifar10,93.24,93.10
734,888,cifar10,86.47,82.79
148,888,cifar10,92.07,91.89
283,999,cifar10,92.44,92.11
788,999,cifar10,85.30,79.39
756,777,cifar10,90.83,89.25
555,999,cifar10,89.88,87.33
1097,777,cifar10,87.18,78.65
1232,777,cifar10,76.01,60.68
711,999,cifar10,89.24,88.67
1186,999,cifar10,91.15,87.53
833,888,cifar10,92.16,91.86
382,888,cifar10,92.59,92.43
126,777,cifar10,84.53,23.61
