,Unnamed: 0,arch_0,arch_1,arch_2,arch_3,arch_4,arch_5,dataset,espdl_size_bytes,torch_size_bytes,accuracy_fp32,accuracy_esp,idx,seed
18264,18264,nor_conv_3x3,none,nor_conv_3x3,nor_conv_1x1,avg_pool_3x3,nor_conv_3x3,cifar10,1013632,4029511,93.31,92.83,10087,888
18265,18265,avg_pool_3x3,avg_pool_3x3,skip_connect,avg_pool_3x3,avg_pool_3x3,nor_conv_1x1,cifar10,216848,822923,79.73,58.0,10642,777
18266,18266,none,skip_connect,nor_conv_1x1,nor_conv_3x3,nor_conv_3x3,skip_connect,cifar10,732000,2913567,91.99,25.4,10109,888
18267,18267,avg_pool_3x3,skip_connect,skip_connect,skip_connect,skip_connect,none,cifar10,144944,525372,79.39,48.73,10437,888
18268,18268,skip_connect,nor_conv_3x3,avg_pool_3x3,skip_connect,avg_pool_3x3,none,cifar10,444816,1639917,79.98,69.96,9944,777
18269,18269,nor_conv_3x3,none,nor_conv_3x3,skip_connect,nor_conv_3x3,none,cifar10,945616,3778877,93.77,93.68,9819,777
18270,18270,skip_connect,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_1x1,cifar10,194288,822923,80.94,54.83,10404,777
18271,18271,nor_conv_1x1,skip_connect,nor_conv_3x3,nor_conv_1x1,nor_conv_3x3,skip_connect,cifar10,736944,3137577,92.54,92.26,10631,777
18272,18272,nor_conv_3x3,nor_conv_1x1,avg_pool_3x3,skip_connect,none,avg_pool_3x3,cifar10,487616,1870573,90.89,90.47,9542,777
18273,18273,none,none,avg_pool_3x3,none,nor_conv_1x1,nor_conv_3x3,cifar10,504112,1860387,10.0,10.0,10211,888
18274,18274,none,skip_connect,nor_conv_3x3,none,avg_pool_3x3,nor_conv_1x1,cifar10,512928,1853475,88.2,10.0,10176,888
18275,18275,skip_connect,none,skip_connect,none,skip_connect,skip_connect,cifar10,136192,507002,83.66,82.76,9933,999
18276,18276,skip_connect,nor_conv_1x1,nor_conv_3x3,skip_connect,none,skip_connect,cifar10,460096,1822733,92.06,91.69,10243,777
18277,18277,none,none,skip_connect,none,nor_conv_1x1,none,cifar10,201056,751419,10.0,10.0,10448,888
18278,18278,avg_pool_3x3,nor_conv_3x3,skip_connect,none,nor_conv_3x3,skip_connect,cifar10,706656,2707363,91.41,90.1,10393,777
18279,18279,nor_conv_3x3,nor_conv_3x3,avg_pool_3x3,skip_connect,nor_conv_1x1,none,cifar10,749536,2936501,93.26,92.96,9782,888
18280,18280,skip_connect,avg_pool_3x3,nor_conv_3x3,nor_conv_1x1,avg_pool_3x3,none,cifar10,486848,1871545,88.98,86.8,10232,888
18281,18281,skip_connect,nor_conv_1x1,skip_connect,none,none,skip_connect,cifar10,203312,738171,89.44,88.64,10503,777
